slug,level,is_stub,lsc_name,breadcrumb,triage,apqc_id,apqc_hier,apqc_depth,level_delta,apqc_name,apqc_match_score,apqc_name_only_score,apqc_description,eia_term,eia_definition,eia_url,agreement,decision,adopted_definition,provenance,web_validator,web_agreement,Decision,Notes
CM-1-2-4-1-3,5,no,Settle Exchange Trades,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Exchange Trades,WEAK,19582,9.7.5.3.4,5,0,Execute foreign exchange trades,0.571,0.571,"Executing all aspects for foreign exchange trade within foreign exchange market. This includes buying, selling, and exchanging currencies at the current or expressed price point.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-1-4,5,no,Settle Trucks,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Trucks,NONE,19948,1.1.3.2,4,1,Analyze internal operations,0.154,0.0,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-5,5,no,Settle Vessels & Barge,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Vessels & Barge,WEAK,12927,4.4.2.4,4,1,Qualify vessels,0.4,0.4,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-1-6,5,no,Settle First Purchaser/Leases,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle First Purchaser/Leases,NONE,19948,1.1.3.2,4,1,Analyze internal operations,0.133,0.0,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-7,5,no,Settle ISO/Power Pools,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle ISO/Power Pools,NONE,19948,1.1.3.2,4,1,Analyze internal operations,0.133,0.0,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-8,5,no,Settle Emissions,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Emissions,NONE,19511,2.3.1.12.1,5,0,"Conduct fleet vehicle tests, emissions tests, chemical analysis",0.222,0.222,,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-9,5,no,Manage Settlement Documents,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Manage Settlement Documents,WEAK,19601,13.7.3.5,4,1,Manage HSSE documents and records,0.571,0.571,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-1-10,5,no,Settle Natural Gas,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Natural Gas,NONE,19948,1.1.3.2,4,1,Analyze internal operations,0.143,0.0,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-11,5,no,Settle Financial OTC Trades,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Financial OTC Trades,NONE,17058,9.0,1,4,Manage Financial Resources,0.286,0.286,,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-12,5,no,Settle Pipelines,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Pipelines,NONE,19948,1.1.3.2,4,1,Analyze internal operations,0.154,0.0,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-13,5,no,Settle Rail,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Rail,WEAK,12931,4.4.2.8,4,1,Schedule rail,0.5,0.5,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-1-14,5,no,Settle Terminal/Storage,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Terminal/Storage,NONE,19558,4.1.8.4,4,1,Establish storage management constraints,0.286,0.286,"Determining potential constraints for physical storage and retrieval of components or products in a storage facility within a certain timeframe. Consider factors such as the building shape, height, capacity, door locations, lift equipment, automation, etc.",,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-15,5,no,Settle Power,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Power,NONE,19948,1.1.3.2,4,1,Analyze internal operations,0.154,0.0,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-16,5,no,Settle Broker,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Broker,NONE,19948,1.1.3.2,4,1,Analyze internal operations,0.154,0.0,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-17,5,no,Manage Settlement Disputes,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Manage Settlement Disputes,WEAK,11743,2.1.4.3,4,1,Manage routings,0.4,0.4,Controlling and executing the flow of operations from raw form to finished product in a defined format using industry applications/routing sheets for the specific product/service layout.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-1-18,5,no,Settle Intermediates,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Intermediates,NONE,19948,1.1.3.2,4,1,Analyze internal operations,0.154,0.0,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-1-19,5,no,Settle Other Commodities,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Settlements > Settle Other Commodities,NONE,19948,1.1.3.2,4,1,Analyze internal operations,0.154,0.0,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-2,4,no,Accounting,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting,WEAK,10774,9.1.2.1,4,0,Perform inventory accounting,0.5,0.5,"Conducting accounting for assets, and finding reasons for changes (depreciation, obsolescence, deterioration, change in customer taste, increased demand, decreased market supply, etc.).",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-2-1,5,no,Manage Accounting Treatments,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage Accounting Treatments,WEAK,10731,9.4,2,3,Manage fixed-asset project accounting,0.5,0.5,"Managing accounts for large funds-invested projects. Manage and account for fixed assets projects (capital projects), which required significant capital investments over many years.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-2-2,5,no,Manage Production Accounting,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage Production Accounting,WEAK,10224,4.1.5,3,2,Create and manage master production schedule,0.5,0.5,"Taking care of the master production plan. The master production includes creation and implementation of the site-level production plan, as well as management of the inventory that is currently in the production process.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-2-3,5,no,Manage Marketing Interests & Royalty Payments,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage Marketing Interests & Royalty Payments,WEAK,20008,3.3,2,3,Develop and manage marketing plans,0.444,0.444,"Creating specific plans to market offerings to customers. This process group includes processes for making budgets, identifying and developing media, pricing products and services, managing packaging, managing marketing content and promotional activities, tracking and responding to customer insight and monitoring measures established within ""develop marketing strategy"". Additionally, in this process group, organizations take action on plans made in earlier processes. Here, marketing and customers are managed and measured along with any supporting materials.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-2-4,5,no,Manage AR/AP & Actuals,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage AR/AP & Actuals,WEAK,11743,2.1.4.3,4,1,Manage routings,0.5,0.5,Controlling and executing the flow of operations from raw form to finished product in a defined format using industry applications/routing sheets for the specific product/service layout.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-2-5,5,no,Manage Trading Sub-Ledger,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage Trading Sub-Ledger,NONE,11743,2.1.4.3,4,1,Manage routings,0.333,0.333,Controlling and executing the flow of operations from raw form to finished product in a defined format using industry applications/routing sheets for the specific product/service layout.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-2-6,5,no,Reconcile Economic PNL To Accounting PNL,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Reconcile Economic PNL To Accounting PNL,NONE,12940,4.4.4.9,4,1,Reconcile inventories,0.333,0.333,,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-4-2-7,5,no,Manage Financial Info. Documentation & Reporting,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage Financial Info. Documentation & Reporting,WEAK,20765,8.4,2,3,Manage information,0.571,0.571,Creating strategies to manage the organization's information and content. Outline the architecture for information. Administer information resources. Administer the management of data and content.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-2-8,5,no,Manage Financial System/GL,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage Financial System/GL,STRONG,17058,9.0,1,4,Manage Financial Resources,0.667,0.667,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-2-9,5,no,Manage Cash Application,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage Cash Application,STRONG,10759,9.7.2,3,2,Manage cash,0.8,0.8,"Taking care of all cash-related activities in the business. Manage and reconcile cash positions. Manage cash equivalents. Process and oversee electronic fund transfers. Develop cash flow forecasts. Manage cash flows. Produce cash management accounting transactions and reports. Manage and oversee banking relationships. Analyze, negotiate, resolve, and confirm bank fees.",,,,pending,NEEDS REVIEW,,,Investopedia: 'Cash',0.048,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-2-10,5,no,Manage Accruals,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage Accruals,WEAK,11743,2.1.4.3,4,1,Manage routings,0.5,0.5,Controlling and executing the flow of operations from raw form to finished product in a defined format using industry applications/routing sheets for the specific product/service layout.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-2-11,5,no,Manage Taxes,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Manage Taxes,STRONG,10736,9.9,2,3,Manage taxes,1.0,1.0,Estimating the organization's periodic tax liabilities. Ensure that appropriate taxing authorities receive tax return filings and payments when due.,,,,pending,NEEDS REVIEW,,,Investopedia: 'Taxes',0.04,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-2-12,5,no,Develop Accounting Policies & Procedures,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Accounting > Develop Accounting Policies & Procedures,STRONG,16592,3.2.3.9.3,5,0,Develop omni-channel policies and procedures,0.667,0.667,Determining the detailed policies and procedures that each of the channels needs to follow in order to conform to the organizational marketing strategy and to provide seamless customer service experience.,,,,pending,NEEDS REVIEW,,,Wikipedia: 'Omnichannel retail strategy',0.172,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-3,4,no,Regulatory & Compliance,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Regulatory & Compliance,STRONG,16463,11.2.2,3,1,Manage regulatory compliance,0.8,0.8,"Obeying laws, guidelines, strategies, and stipulations related to the business.",,,,pending,NEEDS REVIEW,,,EPA Terminology Services: 'Regulatory Compliance & Enforcement Functions',0.0,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-3-1,5,no,Develop Compliance Policies & Procedures,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Regulatory & Compliance > Develop Compliance Policies & Procedures,STRONG,17469,11.2.1.1,4,1,Develop enterprise compliance policies and procedures,0.889,0.889,Creating a standardized approach to ethics and compliance. Have a programmatic approach for compliance that focuses on the definite risks the organization faces.,,,,pending,NEEDS REVIEW,,,NYU School of Law: 'The Compliance Function: An Overview' — compliance policy,0.15,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-3-2,5,no,Monitor External Trading Compliance,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Regulatory & Compliance > Monitor External Trading Compliance,WEAK,10935,9.9.2.6,4,1,Monitor tax compliance,0.571,0.571,Checking and correcting the tax policies according to the rules and regulations set by the organization.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-3-3,5,no,Monitor Internal Trading Compliance,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Regulatory & Compliance > Monitor Internal Trading Compliance,WEAK,10935,9.9.2.6,4,1,Monitor tax compliance,0.571,0.571,Checking and correcting the tax policies according to the rules and regulations set by the organization.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-3-4,5,no,Monitor Internal Trade Controls,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Regulatory & Compliance > Monitor Internal Trade Controls,WEAK,10735,9.8,2,3,Manage internal controls,0.571,0.571,"Administering internal controls. This process requires the organization to manage entity's board of trustees, management, and other personnel in order to offer judicious assurance about the achievement of effectiveness, proficiency of operations, and reliability of financial reporting.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-3-5,5,no,Manage Tax Compliance,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Regulatory & Compliance > Manage Tax Compliance,STRONG,17467,11.2,2,3,Manage compliance,0.8,0.8,Managing steps to confirm enduring compliance to industry regulations and government legislation.,,,,pending,NEEDS REVIEW,,,Concise Encyclopedia of Business Ethics (Toronto Metropolitan University): 'Compliance',0.214,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-3-6,5,no,Manage RINs Reporting,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Regulatory & Compliance > Manage RINs Reporting,STRONG,10522,7.7.1,3,2,Manage reporting processes,0.667,0.667,Providing information and reports regarding employees to management.,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-3-7,5,no,Manage Exceptions,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Regulatory & Compliance > Manage Exceptions,STRONG,20807,8.5.3.8,4,1,Manage architectural exceptions,0.8,0.8,Identifying and resolving any architectural exceptions. Address the internal inquiries related to architecture that cannot be addressed immediately. Research inquiries that require the need of exceptional methods.,,,,pending,NEEDS REVIEW,,,MIT Center for Information Systems Research (CISR): 'Architecture exception process',0.133,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-4,4,no,Demurrage Management,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Demurrage Management,WEAK,20682,8.2.5,3,1,Control IT management system,0.4,0.4,"Regulating the IT management system through performance measures, governance, analysis, and monitoring through a variety of analytic tools. Evaluate IT finances, resource, services, projects, and value for report out.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-4-1,5,no,Identify Potential Demurrage,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Demurrage Management > Identify Potential Demurrage,STRONG,10188,3.5.1.1,4,1,Identify potential customers,0.667,0.667,"Identifying people who can be converted into customers. Leverage personal and professional networks, business research over databases and directories, and secondary research.",,,,pending,NEEDS REVIEW,,,Wikipedia: 'Qualified prospect',0.056,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-4-2,5,no,Create Claim,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Demurrage Management > Create Claim,WEAK,10147,3.4.3.6,4,1,Create budget,0.5,0.5,"Creating a plan in measurable terms for the financial outlay that best captures resource allocation for the sales forecast. Consider the outlay of capital, HR, raw materials, and provisions needed to reach sales targets.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-4-3,5,no,Receive Demurrage Claim,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Demurrage Management > Receive Demurrage Claim,STRONG,20096,6.3.2.1,4,1,Receive warranty claim,0.667,0.667,Receiving incoming warranty claims. Route claim to correct department. Document claim.,,,,pending,NEEDS REVIEW,,,Cornell Legal Information Institute: 'Warranty claim' (49 CFR 579.4),0.182,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-4-4,5,no,Assess Claim,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Demurrage Management > Assess Claim,WEAK,20105,6.3.2.9,4,1,Close claim,0.5,0.5,Archiving and closing the warranty claim after a final decision has been made to either approve or reject.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-4-5,5,no,Communicate and Negotiate Claim,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Demurrage Management > Communicate and Negotiate Claim,WEAK,10046,1.2.1.3,4,1,Communicate mission,0.4,0.4,"Developing and executing a communication strategy to convey the mission statement. Create a universal communication strategy and appropriate delivery channels, with the objective of leveraging the latter to execute the former. Convey the inherent message of the mission to all stakeholders, including employees, customers, and the public. Ensure collaboration between senior strategy personnel and the communications/marketing team.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-4-6,5,no,Validate and Negotiate Claim,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Demurrage Management > Validate and Negotiate Claim,STRONG,12671,6.3.2.2,4,1,Validate warranty claim,0.667,0.667,"Ensuring that the claim falls within the parameters of the warranty in question. After validation is made, the claim must be investigated.",,,,pending,NEEDS REVIEW,,,Cornell Legal Information Institute: 'Warranty claim' (49 CFR 579.4),0.182,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-4-4-7,5,no,Send Claim Invoice,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Demurrage Management > Send Claim Invoice,WEAK,20105,6.3.2.9,4,1,Close claim,0.4,0.4,Archiving and closing the warranty claim after a final decision has been made to either approve or reject.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-4-4-8,5,no,Receive Claim Invoice,Downstream Operations > Commercial & Marketing > Supply And Trading > Settlements & Accounting > Demurrage Management > Receive Claim Invoice,STRONG,20096,6.3.2.1,4,1,Receive warranty claim,0.667,0.667,Receiving incoming warranty claims. Route claim to correct department. Document claim.,,,,pending,NEEDS REVIEW,,,Investopedia: 'Warranty',0.083,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-5-1,4,no,Crude/Feed Quality Management,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Quality Management,WEAK,17498,13.3.4,3,1,Implement and maintain the enterprise quality management system (EQMS),0.364,0.364,"Establishing and administering the software that manages content and business processes for quality and compliance across the value chain. Define the quality strategy. Plan and deploy the EQMS scope, targets, and goals. Identify core process controls and metric. Develop EQMS governance. Assess the performance of EQMS. Encourage improvements in EQMS.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-1-1,5,no,Manage feedstock Data Quality,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Quality Management > Manage feedstock Data Quality,WEAK,11749,2.1.4.9,4,1,Manage traceability data,0.571,0.571,Identifying and handling data accessed by the permitted touch points. Ensure that no data is accessible to any unnecessary recipient. Data flow should be controlled through secured access and free from unauthorized access.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-1-2,5,no,Review LP Model Integrity,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Quality Management > Review LP Model Integrity,WEAK,19977,1.3.1.3,4,1,Review with stakeholders,0.4,0.4,"Developing a process for stakeholder dialog that is integrated into the assessment of business strategies. Report on the evaluation of the business objectives, strategies, subject, or past events.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-1-3,5,no,Develop Term Slate,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Quality Management > Develop Term Slate,WEAK,10941,10.1.1,3,2,Develop property strategy and long term vision,0.444,0.444,Strategizing a long-term vision for managing properties. Prepare strategies and a long-term vision for managing purchased/retained properties.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-1-4,5,no,Develop Spot Slate,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Quality Management > Develop Spot Slate,WEAK,10428,7.1.2.9,4,1,Develop other HR programs,0.4,0.4,Creating HR programs and services such as employee engagements programs to promote positive employee behavior. Create a variety of programs and services to support employees' professional and personal needs at work and at home.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-2,4,no,Crude/Feed Demand Management,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Demand Management,NONE,10222,4.1.2,3,1,Manage demand for products,0.286,0.286,"Forecasting demand for products using secondary research and customer feedback. Refine these forecasts. Inspect the approach used in creating forecasts, and determine its accuracy.",,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-5-2-1,5,no,Coordinate Feedstock Trading,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Demand Management > Coordinate Feedstock Trading,NONE,19527,3.6.2,3,2,Evaluate trading opportunities,0.333,0.333,"Gathering and analyzing market data using various quantitative and qualitative techniques. Discover potential value in opportunities consistent with the trading strategy and objectives defined in Develop overall trading strategy and measurement approach [19520] and within established capital allocation and risk limits. An example is offering opportunities for discount acquisition of distressed crude or additives.  The environment is constantly monitored for trading opportunities availability, price, and compatibility of distressed crude.",,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-5-2-2,5,no,Develop Feedstock Demand,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Demand Management > Develop Feedstock Demand,WEAK,10235,4.1.2.1,4,1,Develop baseline demand forecasts,0.571,0.571,"Identify the bedrock levels of market demand anticipated for the organization's products/services. Estimate future demand for product and services using historical data, analysis of the market environment and any externalities, etc. to create ex ante approximations.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-2-3,5,no,Plan Optimal Feedstock Slate And Run Rate,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Demand Management > Plan Optimal Feedstock Slate And Run Rate,NONE,10215,4.1,2,3,Plan for and align supply chain resources,0.273,0.182,Creating strategies for production and materials. Handle the demand for the products of the organization. Develop plans for handling materials. Develop and administer the schedule for master production. Plan for distribution requirements and its constraints by reviewing and assessing distribution policies and performance and by establishing quality standards and procedures.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-5-3,4,no,Crude/Feed Transportation Management,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Transportation Management,WEAK,10269,4.1.8.3,4,0,Establish transportation management constraints,0.5,0.5,"Identifying any potential constraints while deciding on the dispatch and delivery plan from the source to the various distribution centers. Decide how the inventory will be transported , which and how many transportation means to use, what route to take, etc.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-3-1,5,no,Manage Feedstock Transportation,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Transportation Management > Manage Feedstock Transportation,STRONG,12923,4.4.2,3,2,Manage bulk transportation,0.667,0.667,"Managing the bulk transportation of refined products.  Spot and logistics contracts are arranged and pipeline, truck, rail, barge, and/or tanker shipments are scheduled and nominated, and pipeline shipments are managed.  Vessels, wharves/berths, rail and bulk truck shipments are scheduled and all the shipments are managed.  Book transfers, net outs and claims are managed, and the carrier invoices and documents are processed and audited.",,,,pending,NEEDS REVIEW,,,FHWA / USDOT Freight Glossary: 'Bulk Cargo',0.154,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-2-5-3-2,5,no,Schedule Feedstock Delivery,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Transportation Management > Schedule Feedstock Delivery,WEAK,20882,8.7.3.1.1,5,0,Schedule service delivery resources,0.571,0.571,"Scheduling resources to provide service delivery to IT users. Ensure design, development, deployment, and operations are aligned with the business objectives.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-3-3,5,no,Plan Feedstock Arrival,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Transportation Management > Plan Feedstock Arrival,WEAK,10943,10.1.3,3,2,Plan facility,0.4,0.4,Recognizing the needs of facility users in order to construct a project proposal that meets those needs.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-4,4,no,Crude/Feed Supply Management,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Supply Management,NONE,12960,3.7.2.2,4,0,Revise supply plan,0.286,0.286,,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-2-5-4-1,5,no,Assess & Manage Inventory Risk,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Supply Management > Assess & Manage Inventory Risk,WEAK,12942,4.4.5.1,4,1,Manage bulk inventory,0.571,0.571,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-2-5-4-2,5,no,Manage Feedstock Inventory,Downstream Operations > Commercial & Marketing > Supply And Trading > Crude/Feed Supply Chain Management > Crude/Feed Supply Management > Manage Feedstock Inventory,STRONG,12942,4.4.5.1,4,1,Manage bulk inventory,0.667,0.667,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
